"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"26","RT @arnabch01: #Quantum #computing t revolutionize #AI #ML #bigdata #genomics #pharma #biotech #robotics $MSFT $GOOG $IBM #investor
https:/…",FALSE,0,NA,2017-08-05 04:05:48,FALSE,NA,"893684438395113472",NA,"<a href=""http://misukou.wjg.jp/mscpro/"" rel=""nofollow"">Many Stars Creator Pro</a>","we152d6l6h16",284,TRUE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/892213907766497280/gDm7GE8S_normal.jpg"
"27","RT @arnabch01: #Quantum #computing t revolutionize #AI #ML #bigdata #genomics #pharma #biotech #robotics $MSFT $GOOG $IBM #investor
https:/…",FALSE,0,NA,2017-08-05 04:05:47,FALSE,NA,"893684435412893696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnabch01",284,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/743824651155955713/UnJnr0fz_normal.jpg"
"28","RT @arnabch01: #AI #ML #HPC #BigData #IoT #Solar #wind #led #renewable #Scientist #engineer please save us #globalwarming #climate https://…",FALSE,0,NA,2017-08-05 04:05:29,FALSE,NA,"893684357453324290",NA,"<a href=""http://misukou.wjg.jp/mscpro/"" rel=""nofollow"">Many Stars Creator Pro</a>","we152d6l6h16",156,TRUE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/892213907766497280/gDm7GE8S_normal.jpg"
"29","RT @arnabch01: #AI #ML #HPC #BigData #IoT #Solar #wind #led #renewable #Scientist #engineer please save us #globalwarming #climate https://…",FALSE,0,NA,2017-08-05 04:05:28,FALSE,NA,"893684354165088258",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnabch01",156,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/743824651155955713/UnJnr0fz_normal.jpg"
"30","RT @arnabch01: #China<ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> makes big leap in #QuantumComputing #AI #ML #BigData #robotics #IoT #IIoT $GOOG $MSFT $IBM $INTC  #investor https:/…",FALSE,0,NA,2017-08-05 04:05:09,FALSE,NA,"893684274360008704",NA,"<a href=""http://misukou.wjg.jp/mscpro/"" rel=""nofollow"">Many Stars Creator Pro</a>","we152d6l6h16",76,TRUE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/892213907766497280/gDm7GE8S_normal.jpg"
"31","RT @arnabch01: #China<ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> makes big leap in #QuantumComputing #AI #ML #BigData #robotics #IoT #IIoT $GOOG $MSFT $IBM $INTC  #investor https:/…",FALSE,0,NA,2017-08-05 04:05:08,FALSE,NA,"893684270119608320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnabch01",76,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/743824651155955713/UnJnr0fz_normal.jpg"
"32","Tackling 4th Industrial Revolution with HR4.0 @ https://t.co/VVB5EL4Gug #podcast #bigdata #analytics via @AnalyticsWeek",FALSE,0,NA,2017-08-05 04:05:04,FALSE,NA,"893684252235223041",NA,"<a href=""http://tcelab.com"" rel=""nofollow"">cemdx</a>","BigDataClub",0,FALSE,FALSE,NA,NA,"#AllThingAnalytics","en","http://pbs.twimg.com/profile_images/639854528867659776/MXqFy_ea_normal.png"
"33","RT @ipfconline1: #DeepLearning - A Non-Technical Introduction.
https://t.co/vgd6mj3WCR   [via @gp_pulipaka]
#BigData #DL #MachineLearning #…",FALSE,0,NA,2017-08-05 04:05:02,FALSE,NA,"893684246870675461",NA,"<a href=""https://utar.co"" rel=""nofollow"">retweetbotutar</a>","UtarSystems",68,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/845922486810296320/QN215K3M_normal.jpg"
"34","RT @arnabch01: #IoT #robotics #smartcities #3dp #5G #genomics #BigData #fintech #I40 #startup #SMB to boast #Germany #GDP #economy https://…",FALSE,0,NA,2017-08-05 04:05:02,FALSE,NA,"893684245373358080",NA,"<a href=""https://utar.co"" rel=""nofollow"">retweetbotutar</a>","UtarSystems",162,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/845922486810296320/QN215K3M_normal.jpg"
"35","RT @ipfconline1: #DeepLearning - A Non-Technical Introduction.
https://t.co/vgd6mj3WCR   [via @gp_pulipaka]
#BigData #DL #MachineLearning #…",FALSE,0,NA,2017-08-05 04:04:59,FALSE,NA,"893684233381793792",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",68,TRUE,FALSE,NA,NA,"Santiago, Chile","en","http://pbs.twimg.com/profile_images/477167045772312577/3q1ssMVN_normal.jpeg"
"36","RT @Hamir_Nandaniya: How to make an intelligent chatbot. Read https://t.co/sknsiB2mYO #cloud #data #BigData https://t.co/PDsvBhdVbr",FALSE,0,NA,2017-08-05 04:04:52,FALSE,NA,"893684204843798537",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","StPanda_",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/844141143709356032/Vfg0PN89_normal.jpg"
"37","RT @ipfconline1: #DeepLearning - A Non-Technical Introduction.
https://t.co/vgd6mj3WCR   [via @gp_pulipaka]
#BigData #DL #MachineLearning #…",FALSE,0,NA,2017-08-05 04:04:42,FALSE,NA,"893684161013305344",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider16</a>","deusex_mac",68,TRUE,FALSE,NA,NA,"Global","en","http://pbs.twimg.com/profile_images/888262460150497280/UpzsdE6m_normal.jpg"
"38","RT @arnabch01: #IoT #robotics #smartcities #3dp #5G #genomics #BigData #fintech #I40 #startup #SMB to boast #Germany #GDP #economy https://…",FALSE,0,NA,2017-08-05 04:04:32,FALSE,NA,"893684118659014656",NA,"<a href=""http://misukou.wjg.jp/mscpro/"" rel=""nofollow"">Many Stars Creator Pro</a>","we152d6l6h16",162,TRUE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/892213907766497280/gDm7GE8S_normal.jpg"
"39","RT @arnabch01: #IoT #robotics #smartcities #3dp #5G #genomics #BigData #fintech #I40 #startup #SMB to boast #Germany #GDP #economy https://…",FALSE,0,NA,2017-08-05 04:04:31,FALSE,NA,"893684114062168064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","arnabch01",162,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/743824651155955713/UnJnr0fz_normal.jpg"
"40","Why GE Digital Believes All Machines Should Have a #DigitalTwin: https://t.co/jY5nQ2t5tF #BigData… https://t.co/rS41v3AxFv MT @KirkDBorne",FALSE,0,NA,2017-08-05 04:04:01,FALSE,NA,"893683989034147842",NA,"<a href=""http://twitter.com "" rel=""nofollow"">ARJ3</a>","amitabhrjha",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/616248144045563904/9203KSL8_normal.jpg"
"41","RT @Atheek_Ahamath: Slight Street Sign Modifications Can Completely Fool Machine Learning Algorithms #machinelearning #bigdata #ai https://…",FALSE,0,NA,2017-08-05 04:03:16,FALSE,NA,"893683801804738561",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","shakamunyi",2,TRUE,FALSE,NA,NA,"San Francisco, CA","en","http://pbs.twimg.com/profile_images/598640478657978368/PgSHeCsJ_normal.jpg"
"42","RT @marcusborba: The Challenge Of Cybersecurity In The IoT https://t.co/NZii1TXG2W via @gp_pulipaka #BigData #DataScience #CyberSecurity #I…",FALSE,0,NA,2017-08-05 04:03:09,FALSE,NA,"893683769378353152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imzyjay",7,TRUE,FALSE,NA,NA,"Canberra","en","http://pbs.twimg.com/profile_images/702950006865698817/-WmA3FXT_normal.jpg"
"43","RT @KirkDBorne: 10 Companies Using #MachineLearning in Cool Ways: https://t.co/Gv0wV3UToe #AI #DeepLearning #BigData #DataScience HT @DeepL…",FALSE,0,NA,2017-08-05 04:02:55,FALSE,NA,"893683713417990145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SouvikKundu88",157,TRUE,FALSE,NA,NA,"Bengaluru, India","en","http://pbs.twimg.com/profile_images/799155414940008448/BOKcfUlm_normal.jpg"
